// DAFJSP14... hecho_DRC_DAFJS014_wDAFJS02_wDAFJS06m5_w5_69op.txt
//        Ntaks, nMachs, nWORKERs
Params = 	<69, 5,  5>;

precedences ={
<	1	,	2	,	0	>,
<	2	,	3	,	0	>,
<	3	,	4	,	0	>,
<	4	,	6	,	0	>,
<	3	,	5	,	0	>,
<	5	,	6	,	0	>,
<	7	,	8	,	0	>,
<	8	,	9	,	0	>,
<	9	,	10	,	0	>,
<	10	,	13	,	0	>,
<	9	,	11	,	0	>,
<	11	,	13	,	0	>,
<	9	,	12	,	0	>,
<	12	,	13	,	0	>,
<	14	,	15	,	0	>,
<	15	,	20	,	0	>,
<	16	,	17	,	0	>,
<	17	,	20	,	0	>,
<	18	,	19	,	0	>,
<	19	,	20	,	0	>,
<	20	,	21	,	0	>,
<	22	,	23	,	0	>,
<	23	,	24	,	0	>,
<	24	,	25	,	0	>,
<	25	,	26	,	0	>,
<	25	,	27	,	0	>,
<	25	,	28	,	0	>,
<	29	,	31	,	0	>,
<	30	,	31	,	0	>,
<	31	,	32	,	0	>,
<	33	,	34	,	0	>,
<	34	,	35	,	0	>,
<	35	,	36	,	0	>,
<	35	,	37	,	0	>,
<	35	,	38	,	0	>,
<	39	,	40	,	0	>,
<	40	,	41	,	0	>,
<	41	,	42	,	0	>,
<	39	,	43	,	0	>,
<	43	,	44	,	0	>,
<	44	,	45	,	0	>,
<	39	,	46	,	0	>,
<	46	,	47	,	0	>,
<	47	,	48	,	0	>,
<	49	,	50	,	0	>,
<	50	,	55	,	0	>,
<	51	,	52	,	0	>,
<	52	,	55	,	0	>,
<	53	,	54	,	0	>,
<	54	,	55	,	0	>,
<	56	,	57	,	0	>,
<	57	,	58	,	0	>,
<	58	,	59	,	0	>,
<	59	,	60	,	0	>,
<	59	,	61	,	0	>,
<	59	,	62	,	0	>,
<	63	,	64	,	0	>,
<	64	,	65	,	0	>,
<	65	,	66	,	0	>,
<	66	,	67	,	0	>,
<	66	,	68	,	0	>,
<	66	,	69	,	0	>
};

Modes = {
<0 , 1 , 2, 3, 89 >,
<53 , 6 , 3, 1, 86 >,
<54 , 6 , 3, 5, 86 >,
<55 , 6 , 5, 1, 79 >,
<56 , 6 , 5, 5, 79 >,
<57 , 7 , 3, 3, 6 >,
<58 , 7 , 3, 4, 6 >,
<59 , 7 , 4, 3, 16 >,
<60 , 7 , 4, 4, 16 >,
<61 , 8 , 1, 1, 76 >,
<62 , 8 , 1, 2, 76 >,
<63 , 8 , 1, 3, 76 >,
<64 , 8 , 1, 5, 76 >,
<65 , 8 , 2, 1, 95 >,
<66 , 8 , 2, 2, 95 >,
<67 , 8 , 2, 3, 95 >,
<68 , 8 , 2, 5, 95 >,
<69 , 8 , 4, 1, 61 >,
<70 , 8 , 4, 2, 61 >,
<71 , 8 , 4, 3, 61 >,
<72 , 8 , 4, 5, 61 >,
<73 , 9 , 4, 1, 17 >,
<74 , 9 , 4, 3, 17 >,
<75 , 9 , 4, 4, 17 >,
<76 , 9 , 5, 1, 29 >,
<77 , 9 , 5, 3, 29 >,
<78 , 9 , 5, 4, 29 >,
<79 , 10 , 1, 1, 96 >,
<80 , 10 , 1, 2, 96 >,
<81 , 10 , 1, 3, 96 >,
<82 , 10 , 1, 4, 96 >,
<83 , 10 , 2, 1, 95 >,
<84 , 10 , 2, 2, 95 >,
<85 , 10 , 2, 3, 95 >,
<86 , 10 , 2, 4, 95 >,
<87 , 10 , 4, 1, 51 >,
<88 , 10 , 4, 2, 51 >,
<89 , 10 , 4, 3, 51 >,
<90 , 10 , 4, 4, 51 >,
<91 , 10 , 5, 1, 60 >,
<92 , 10 , 5, 2, 60 >,
<93 , 10 , 5, 3, 60 >,
<94 , 10 , 5, 4, 60 >,
<95 , 11 , 1, 1, 31 >,
<96 , 11 , 1, 2, 31 >,
<97 , 11 , 1, 3, 31 >,
<98 , 11 , 1, 4, 31 >,
<99 , 11 , 2, 1, 15 >,
<100 , 11 , 2, 2, 15 >,
<101 , 11 , 2, 3, 15 >,
<102 , 11 , 2, 4, 15 >,
<103 , 11 , 3, 1, 25 >,
<104 , 11 , 3, 2, 25 >,
<105 , 11 , 3, 3, 25 >,
<106 , 11 , 3, 4, 25 >,
<107 , 11 , 4, 1, 29 >,
<108 , 11 , 4, 2, 29 >,
<109 , 11 , 4, 3, 29 >,
<110 , 11 , 4, 4, 29 >,
<111 , 12 , 1, 1, 98 >,
<112 , 12 , 1, 2, 98 >,
<113 , 12 , 1, 5, 98 >,
<114 , 12 , 4, 1, 98 >,
<115 , 12 , 4, 2, 98 >,
<116 , 12 , 4, 5, 98 >,
<117 , 12 , 5, 1, 98 >,
<118 , 12 , 5, 2, 98 >,
<119 , 12 , 5, 5, 98 >,
<120 , 13 , 4, 1, 78 >,
<121 , 13 , 4, 2, 78 >,
<122 , 13 , 4, 3, 78 >,
<123 , 13 , 5, 1, 72 >,
<124 , 13 , 5, 2, 72 >,
<125 , 13 , 5, 3, 72 >,
<126 , 14 , 1, 2, 89 >,
<127 , 14 , 1, 3, 89 >,
<128 , 14 , 1, 4, 89 >,
<129 , 14 , 1, 5, 89 >,
<130 , 14 , 2, 2, 84 >,
<131 , 14 , 2, 3, 84 >,
<132 , 14 , 2, 4, 84 >,
<133 , 14 , 2, 5, 84 >,
<134 , 14 , 4, 2, 89 >,
<135 , 14 , 4, 3, 89 >,
<136 , 14 , 4, 4, 89 >,
<137 , 14 , 4, 5, 89 >,
<138 , 14 , 5, 2, 88 >,
<139 , 14 , 5, 3, 88 >,
<140 , 14 , 5, 4, 88 >,
<141 , 14 , 5, 5, 88 >,
<142 , 15 , 1, 1, 95 >,
<143 , 15 , 1, 2, 95 >,
<144 , 15 , 1, 4, 95 >,
<145 , 15 , 1, 5, 95 >,
<146 , 15 , 3, 1, 84 >,
<147 , 15 , 3, 2, 84 >,
<148 , 15 , 3, 4, 84 >,
<149 , 15 , 3, 5, 84 >,
<150 , 15 , 4, 1, 83 >,
<151 , 15 , 4, 2, 83 >,
<152 , 15 , 4, 4, 83 >,
<153 , 15 , 4, 5, 83 >,
<154 , 15 , 5, 1, 65 >,
<155 , 15 , 5, 2, 65 >,
<156 , 15 , 5, 4, 65 >,
<157 , 15 , 5, 5, 65 >,
<158 , 16 , 1, 2, 93 >,
<159 , 16 , 1, 5, 93 >,
<160 , 16 , 2, 2, 93 >,
<161 , 16 , 2, 5, 93 >,
<162 , 17 , 1, 2, 86 >,
<163 , 17 , 1, 4, 86 >,
<164 , 17 , 1, 5, 86 >,
<165 , 17 , 3, 2, 86 >,
<166 , 17 , 3, 4, 86 >,
<167 , 17 , 3, 5, 86 >,
<168 , 17 , 4, 2, 95 >,
<169 , 17 , 4, 4, 95 >,
<170 , 17 , 4, 5, 95 >,
<171 , 18 , 3, 2, 81 >,
<172 , 18 , 3, 3, 81 >,
<173 , 18 , 3, 5, 81 >,
<174 , 18 , 5, 2, 45 >,
<175 , 18 , 5, 3, 45 >,
<176 , 18 , 5, 5, 45 >,
<177 , 19 , 1, 1, 90 >,
<178 , 19 , 1, 2, 90 >,
<179 , 19 , 1, 3, 90 >,
<180 , 19 , 1, 4, 90 >,
<181 , 19 , 4, 1, 93 >,
<182 , 19 , 4, 2, 93 >,
<183 , 19 , 4, 3, 93 >,
<184 , 19 , 4, 4, 93 >,
<185 , 19 , 5, 1, 75 >,
<186 , 19 , 5, 2, 75 >,
<187 , 19 , 5, 3, 75 >,
<188 , 19 , 5, 4, 75 >,
<189 , 20 , 1, 1, 91 >,
<190 , 20 , 1, 2, 91 >,
<191 , 20 , 1, 4, 91 >,
<192 , 20 , 1, 5, 91 >,
<193 , 20 , 3, 1, 47 >,
<194 , 20 , 3, 2, 47 >,
<195 , 20 , 3, 4, 47 >,
<196 , 20 , 3, 5, 47 >,
<197 , 21 , 2, 1, 48 >,
<198 , 21 , 2, 2, 48 >,
<199 , 21 , 2, 3, 48 >,
<200 , 21 , 2, 4, 48 >,
<201 , 21 , 4, 1, 78 >,
<202 , 21 , 4, 2, 78 >,
<203 , 21 , 4, 3, 78 >,
<204 , 21 , 4, 4, 78 >,
<205 , 21 , 5, 1, 68 >,
<206 , 21 , 5, 2, 68 >,
<207 , 21 , 5, 3, 68 >,
<208 , 21 , 5, 4, 68 >,
<209 , 22 , 3, 1, 84 >,
<210 , 22 , 3, 5, 84 >,
<211 , 22 , 5, 1, 73 >,
<212 , 22 , 5, 5, 73 >,
<213 , 23 , 2, 2, 7 >,
<214 , 23 , 2, 3, 7 >,
<215 , 23 , 2, 5, 7 >,
<216 , 23 , 3, 2, 8 >,
<217 , 23 , 3, 3, 8 >,
<218 , 23 , 3, 5, 8 >,
<219 , 23 , 4, 2, 15 >,
<220 , 23 , 4, 3, 15 >,
<221 , 23 , 4, 5, 15 >,
<222 , 24 , 1, 1, 96 >,
<223 , 24 , 1, 2, 96 >,
<224 , 24 , 1, 3, 96 >,
<225 , 24 , 3, 1, 66 >,
<226 , 24 , 3, 2, 66 >,
<227 , 24 , 3, 3, 66 >,
<228 , 24 , 5, 1, 91 >,
<229 , 24 , 5, 2, 91 >,
<230 , 24 , 5, 3, 91 >,
<231 , 25 , 1, 2, 95 >,
<232 , 25 , 1, 3, 95 >,
<233 , 25 , 1, 5, 95 >,
<234 , 25 , 3, 2, 79 >,
<235 , 25 , 3, 3, 79 >,
<236 , 25 , 3, 5, 79 >,
<237 , 25 , 4, 2, 58 >,
<238 , 25 , 4, 3, 58 >,
<239 , 25 , 4, 5, 58 >,
<240 , 25 , 5, 2, 37 >,
<241 , 25 , 5, 3, 37 >,
<242 , 25 , 5, 5, 37 >,
<243 , 26 , 1, 3, 19 >,
<244 , 26 , 1, 5, 19 >,
<245 , 26 , 2, 3, 44 >,
<246 , 26 , 2, 5, 44 >,
<247 , 26 , 3, 3, 48 >,
<248 , 26 , 3, 5, 48 >,
<249 , 26 , 5, 3, 34 >,
<250 , 26 , 5, 5, 34 >,
<251 , 27 , 1, 3, 5 >,
<252 , 27 , 1, 4, 5 >,
<253 , 27 , 2, 3, 2 >,
<254 , 27 , 2, 4, 2 >,
<255 , 27 , 4, 3, 3 >,
<256 , 27 , 4, 4, 3 >,
<257 , 27 , 5, 3, 2 >,
<258 , 27 , 5, 4, 2 >,
<259 , 28 , 1, 3, 74 >,
<260 , 28 , 1, 4, 74 >,
<261 , 28 , 1, 5, 74 >,
<262 , 28 , 4, 3, 66 >,
<263 , 28 , 4, 4, 66 >,
<264 , 28 , 4, 5, 66 >,
<265 , 28 , 5, 3, 76 >,
<266 , 28 , 5, 4, 76 >,
<267 , 28 , 5, 5, 76 >,
<268 , 29 , 1, 4, 53 >,
<269 , 29 , 1, 5, 53 >,
<270 , 29 , 2, 4, 35 >,
<271 , 29 , 2, 5, 35 >,
<272 , 29 , 3, 4, 19 >,
<273 , 29 , 3, 5, 19 >,
<274 , 29 , 4, 4, 31 >,
<275 , 29 , 4, 5, 31 >,
<276 , 30 , 1, 1, 30 >,
<277 , 30 , 1, 2, 30 >,
<278 , 30 , 1, 3, 30 >,
<279 , 30 , 1, 5, 30 >,
<280 , 30 , 2, 1, 27 >,
<281 , 30 , 2, 2, 27 >,
<282 , 30 , 2, 3, 27 >,
<283 , 30 , 2, 5, 27 >,
<284 , 30 , 4, 1, 66 >,
<285 , 30 , 4, 2, 66 >,
<286 , 30 , 4, 3, 66 >,
<287 , 30 , 4, 5, 66 >,
<288 , 30 , 5, 1, 52 >,
<289 , 30 , 5, 2, 52 >,
<290 , 30 , 5, 3, 52 >,
<291 , 30 , 5, 5, 52 >,
<292 , 31 , 1, 3, 21 >,
<293 , 31 , 1, 4, 21 >,
<294 , 31 , 2, 3, 21 >,
<295 , 31 , 2, 4, 21 >,
<296 , 31 , 4, 3, 7 >,
<297 , 31 , 4, 4, 7 >,
<298 , 32 , 3, 2, 91 >,
<299 , 32 , 3, 4, 91 >,
<300 , 32 , 4, 2, 56 >,
<301 , 32 , 4, 4, 56 >,
<302 , 33 , 1, 2, 60 >,
<303 , 33 , 1, 4, 60 >,
<304 , 33 , 1, 5, 60 >,
<305 , 33 , 5, 2, 61 >,
<306 , 33 , 5, 4, 61 >,
<307 , 33 , 5, 5, 61 >,
<308 , 34 , 2, 2, 36 >,
<309 , 34 , 2, 4, 36 >,
<310 , 34 , 5, 2, 99 >,
<311 , 34 , 5, 4, 99 >,
<312 , 35 , 1, 1, 48 >,
<313 , 35 , 1, 4, 48 >,
<314 , 35 , 2, 1, 37 >,
<315 , 35 , 2, 4, 37 >,
<316 , 35 , 3, 1, 20 >,
<317 , 35 , 3, 4, 20 >,
<318 , 35 , 4, 1, 44 >,
<319 , 35 , 4, 4, 44 >,
<320 , 36 , 1, 1, 32 >,
<321 , 36 , 1, 2, 32 >,
<322 , 36 , 1, 3, 32 >,
<323 , 36 , 5, 1, 59 >,
<324 , 36 , 5, 2, 59 >,
<325 , 36 , 5, 3, 59 >,
<326 , 37 , 3, 1, 21 >,
<327 , 37 , 3, 2, 21 >,
<328 , 37 , 3, 4, 21 >,
<329 , 37 , 3, 5, 21 >,
<330 , 37 , 4, 1, 56 >,
<331 , 37 , 4, 2, 56 >,
<332 , 37 , 4, 4, 56 >,
<333 , 37 , 4, 5, 56 >,
<334 , 38 , 1, 1, 92 >,
<335 , 38 , 1, 5, 92 >,
<336 , 38 , 2, 1, 98 >,
<337 , 38 , 2, 5, 98 >,
<338 , 38 , 3, 1, 82 >,
<339 , 38 , 3, 5, 82 >,
<340 , 38 , 5, 1, 81 >,
<341 , 38 , 5, 5, 81 >,
<342 , 39 , 2, 1, 94 >,
<343 , 39 , 2, 4, 94 >,
<344 , 39 , 3, 1, 79 >,
<345 , 39 , 3, 4, 79 >,
<346 , 39 , 4, 1, 89 >,
<347 , 39 , 4, 4, 89 >,
<348 , 39 , 5, 1, 71 >,
<349 , 39 , 5, 4, 71 >,
<350 , 40 , 2, 1, 16 >,
<351 , 40 , 2, 5, 16 >,
<352 , 40 , 5, 1, 19 >,
<353 , 40 , 5, 5, 19 >,
<354 , 41 , 1, 2, 99 >,
<355 , 41 , 1, 3, 99 >,
<356 , 41 , 1, 4, 99 >,
<357 , 41 , 1, 5, 99 >,
<358 , 41 , 2, 2, 88 >,
<359 , 41 , 2, 3, 88 >,
<360 , 41 , 2, 4, 88 >,
<361 , 41 , 2, 5, 88 >,
<362 , 41 , 3, 2, 87 >,
<363 , 41 , 3, 3, 87 >,
<364 , 41 , 3, 4, 87 >,
<365 , 41 , 3, 5, 87 >,
<366 , 41 , 4, 2, 86 >,
<367 , 41 , 4, 3, 86 >,
<368 , 41 , 4, 4, 86 >,
<369 , 41 , 4, 5, 86 >,
<370 , 42 , 2, 1, 97 >,
<371 , 42 , 2, 2, 97 >,
<372 , 42 , 2, 3, 97 >,
<373 , 42 , 2, 4, 97 >,
<374 , 42 , 3, 1, 75 >,
<375 , 42 , 3, 2, 75 >,
<376 , 42 , 3, 3, 75 >,
<377 , 42 , 3, 4, 75 >,
<378 , 42 , 4, 1, 97 >,
<379 , 42 , 4, 2, 97 >,
<380 , 42 , 4, 3, 97 >,
<381 , 42 , 4, 4, 97 >,
<382 , 43 , 1, 2, 70 >,
<383 , 43 , 1, 5, 70 >,
<384 , 43 , 2, 2, 79 >,
<385 , 43 , 2, 5, 79 >,
<386 , 43 , 5, 2, 99 >,
<387 , 43 , 5, 5, 99 >,
<388 , 44 , 1, 1, 58 >,
<389 , 44 , 1, 2, 58 >,
<390 , 44 , 1, 5, 58 >,
<391 , 44 , 3, 1, 70 >,
<392 , 44 , 3, 2, 70 >,
<393 , 44 , 3, 5, 70 >,
<394 , 44 , 4, 1, 53 >,
<395 , 44 , 4, 2, 53 >,
<396 , 44 , 4, 5, 53 >,
<397 , 44 , 5, 1, 80 >,
<398 , 44 , 5, 2, 80 >,
<399 , 44 , 5, 5, 80 >,
<400 , 45 , 2, 2, 95 >,
<401 , 45 , 2, 4, 95 >,
<402 , 45 , 2, 5, 95 >,
<403 , 45 , 4, 2, 76 >,
<404 , 45 , 4, 4, 76 >,
<405 , 45 , 4, 5, 76 >,
<406 , 46 , 1, 2, 72 >,
<407 , 46 , 1, 3, 72 >,
<408 , 46 , 2, 2, 72 >,
<409 , 46 , 2, 3, 72 >,
<410 , 46 , 5, 2, 72 >,
<411 , 46 , 5, 3, 72 >,
<412 , 47 , 1, 2, 44 >,
<413 , 47 , 1, 3, 44 >,
<414 , 47 , 1, 4, 44 >,
<415 , 47 , 1, 5, 44 >,
<416 , 47 , 4, 2, 64 >,
<417 , 47 , 4, 3, 64 >,
<418 , 47 , 4, 4, 64 >,
<419 , 47 , 4, 5, 64 >,
<420 , 48 , 1, 2, 13 >,
<421 , 48 , 1, 3, 13 >,
<422 , 48 , 3, 2, 27 >,
<423 , 48 , 3, 3, 27 >,
<424 , 48 , 5, 2, 21 >,
<425 , 48 , 5, 3, 21 >,
<426 , 49 , 1, 1, 87 >,
<427 , 49 , 1, 2, 87 >,
<428 , 49 , 1, 4, 87 >,
<429 , 49 , 1, 5, 87 >,
<430 , 49 , 3, 1, 87 >,
<431 , 49 , 3, 2, 87 >,
<432 , 49 , 3, 4, 87 >,
<433 , 49 , 3, 5, 87 >,
<434 , 49 , 4, 1, 96 >,
<435 , 49 , 4, 2, 96 >,
<436 , 49 , 4, 4, 96 >,
<437 , 49 , 4, 5, 96 >,
<438 , 50 , 2, 1, 53 >,
<439 , 50 , 2, 3, 53 >,
<440 , 50 , 2, 5, 53 >,
<441 , 50 , 3, 1, 73 >,
<442 , 50 , 3, 3, 73 >,
<443 , 50 , 3, 5, 73 >,
<444 , 51 , 1, 1, 72 >,
<445 , 51 , 1, 4, 72 >,
<446 , 51 , 3, 1, 49 >,
<447 , 51 , 3, 4, 49 >,
<448 , 51 , 4, 1, 74 >,
<449 , 51 , 4, 4, 74 >,
<450 , 51 , 5, 1, 85 >,
<451 , 51 , 5, 4, 85 >,
<452 , 52 , 2, 1, 75 >,
<453 , 52 , 2, 3, 75 >,
<454 , 52 , 2, 4, 75 >,
<455 , 52 , 2, 5, 75 >,
<456 , 52 , 3, 1, 51 >,
<457 , 52 , 3, 3, 51 >,
<458 , 52 , 3, 4, 51 >,
<459 , 52 , 3, 5, 51 >,
<460 , 52 , 4, 1, 70 >,
<461 , 52 , 4, 3, 70 >,
<462 , 52 , 4, 4, 70 >,
<463 , 52 , 4, 5, 70 >,
<464 , 52 , 5, 1, 51 >,
<465 , 52 , 5, 3, 51 >,
<466 , 52 , 5, 4, 51 >,
<467 , 52 , 5, 5, 51 >,
<468 , 53 , 1, 1, 38 >,
<469 , 53 , 1, 2, 38 >,
<470 , 53 , 1, 3, 38 >,
<471 , 53 , 1, 5, 38 >,
<472 , 53 , 2, 1, 53 >,
<473 , 53 , 2, 2, 53 >,
<474 , 53 , 2, 3, 53 >,
<475 , 53 , 2, 5, 53 >,
<476 , 53 , 3, 1, 83 >,
<477 , 53 , 3, 2, 83 >,
<478 , 53 , 3, 3, 83 >,
<479 , 53 , 3, 5, 83 >,
<480 , 53 , 5, 1, 40 >,
<481 , 53 , 5, 2, 40 >,
<482 , 53 , 5, 3, 40 >,
<483 , 53 , 5, 5, 40 >,
<484 , 54 , 1, 2, 67 >,
<485 , 54 , 1, 3, 67 >,
<486 , 54 , 1, 4, 67 >,
<487 , 54 , 1, 5, 67 >,
<488 , 54 , 3, 2, 57 >,
<489 , 54 , 3, 3, 57 >,
<490 , 54 , 3, 4, 57 >,
<491 , 54 , 3, 5, 57 >,
<492 , 54 , 4, 2, 82 >,
<493 , 54 , 4, 3, 82 >,
<494 , 54 , 4, 4, 82 >,
<495 , 54 , 4, 5, 82 >,
<496 , 54 , 5, 2, 94 >,
<497 , 54 , 5, 3, 94 >,
<498 , 54 , 5, 4, 94 >,
<499 , 54 , 5, 5, 94 >,
<500 , 55 , 4, 1, 1 >,
<501 , 55 , 4, 2, 1 >,
<502 , 55 , 4, 4, 1 >,
<503 , 55 , 4, 5, 1 >,
<504 , 55 , 5, 1, 1 >,
<505 , 55 , 5, 2, 1 >,
<506 , 55 , 5, 4, 1 >,
<507 , 55 , 5, 5, 1 >,
<508 , 56 , 3, 1, 90 >,
<509 , 56 , 3, 2, 90 >,
<510 , 56 , 3, 3, 90 >,
<511 , 56 , 3, 4, 90 >,
<512 , 56 , 5, 1, 94 >,
<513 , 56 , 5, 2, 94 >,
<514 , 56 , 5, 3, 94 >,
<515 , 56 , 5, 4, 94 >,
<516 , 57 , 3, 1, 93 >,
<517 , 57 , 3, 2, 93 >,
<518 , 57 , 3, 3, 93 >,
<519 , 57 , 3, 5, 93 >,
<520 , 57 , 4, 1, 62 >,
<521 , 57 , 4, 2, 62 >,
<522 , 57 , 4, 3, 62 >,
<523 , 57 , 4, 5, 62 >,
<524 , 58 , 1, 1, 87 >,
<525 , 58 , 1, 2, 87 >,
<526 , 58 , 1, 4, 87 >,
<527 , 58 , 1, 5, 87 >,
<528 , 58 , 2, 1, 73 >,
<529 , 58 , 2, 2, 73 >,
<530 , 58 , 2, 4, 73 >,
<531 , 58 , 2, 5, 73 >,
<532 , 58 , 4, 1, 55 >,
<533 , 58 , 4, 2, 55 >,
<534 , 58 , 4, 4, 55 >,
<535 , 58 , 4, 5, 55 >,
<536 , 59 , 3, 4, 99 >,
<537 , 59 , 3, 5, 99 >,
<538 , 59 , 5, 4, 77 >,
<539 , 59 , 5, 5, 77 >,
<540 , 60 , 2, 1, 29 >,
<541 , 60 , 2, 2, 29 >,
<542 , 60 , 2, 4, 29 >,
<543 , 60 , 2, 5, 29 >,
<544 , 60 , 5, 1, 56 >,
<545 , 60 , 5, 2, 56 >,
<546 , 60 , 5, 4, 56 >,
<547 , 60 , 5, 5, 56 >,
<548 , 61 , 2, 1, 64 >,
<549 , 61 , 2, 3, 64 >,
<550 , 61 , 2, 4, 64 >,
<551 , 61 , 2, 5, 64 >,
<552 , 61 , 3, 1, 79 >,
<553 , 61 , 3, 3, 79 >,
<554 , 61 , 3, 4, 79 >,
<555 , 61 , 3, 5, 79 >,
<556 , 61 , 4, 1, 72 >,
<557 , 61 , 4, 3, 72 >,
<558 , 61 , 4, 4, 72 >,
<559 , 61 , 4, 5, 72 >,
<560 , 61 , 5, 1, 96 >,
<561 , 61 , 5, 3, 96 >,
<562 , 61 , 5, 4, 96 >,
<563 , 61 , 5, 5, 96 >,
<564 , 62 , 1, 1, 77 >,
<565 , 62 , 1, 2, 77 >,
<566 , 62 , 1, 3, 77 >,
<567 , 62 , 1, 5, 77 >,
<568 , 62 , 2, 1, 95 >,
<569 , 62 , 2, 2, 95 >,
<570 , 62 , 2, 3, 95 >,
<571 , 62 , 2, 5, 95 >,
<572 , 62 , 4, 1, 69 >,
<573 , 62 , 4, 2, 69 >,
<574 , 62 , 4, 3, 69 >,
<575 , 62 , 4, 5, 69 >,
<576 , 62 , 5, 1, 52 >,
<577 , 62 , 5, 2, 52 >,
<578 , 62 , 5, 3, 52 >,
<579 , 62 , 5, 5, 52 >,
<580 , 63 , 1, 1, 29 >,
<581 , 63 , 1, 2, 29 >,
<582 , 63 , 1, 3, 29 >,
<583 , 63 , 1, 4, 29 >,
<584 , 63 , 5, 1, 69 >,
<585 , 63 , 5, 2, 69 >,
<586 , 63 , 5, 3, 69 >,
<587 , 63 , 5, 4, 69 >,
<588 , 64 , 1, 1, 28 >,
<589 , 64 , 1, 2, 28 >,
<590 , 64 , 1, 3, 28 >,
<591 , 64 , 1, 5, 28 >,
<592 , 64 , 4, 1, 56 >,
<593 , 64 , 4, 2, 56 >,
<594 , 64 , 4, 3, 56 >,
<595 , 64 , 4, 5, 56 >,
