! --------------------------------------------------- CP Optimizer 22.1.1.0 --
 ! Minimization problem - 1.012 variables, 191.051 constraints
 ! Presolve      : 95.449 extractables eliminated, 1 constraint generated
 ! FailLimit            = 10.000.000
 ! Initial process time : 317,29s (317,28s extraction + 0,01s propagation)
 !  . Log search space  : 766,8 (before), 766,8 (after)
 !  . Memory usage      : 152,9 MB (before), 152,9 MB (after)
 ! Using parallel search with 24 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0      1.012                 -
 + New bound is 576
                    1.116        215   11     1.122  = startOf(PHImodes#751)
                    1.116        215   12     1.136  = startOf(PHImodes#743)
                    1.114        231   16     1.148  = startOf(PHImodes#762)
 *           643    2.778  341,21s     11      (gap is 10,42%)
 *           640    2.560  341,66s     19      (gap is 10,00%)
             640    3.000          4   17   F   559  = startOf(PHImodes#561)
 *           636    2.770  344,32s     12      (gap is 9,43%)
             636    3.000          4   11             !presenceOf(PHImodes#719)
             636    3.000          4    7       447  = startOf(PHImodes#407)
 *           632    2.498  346,33s      9      (gap is 8,86%)
             632    3.000          4   19       299  = startOf(PHImodes#448)
 *           621    3.225  346,82s     11      (gap is 7,25%)
             621    3.000          9   12       479  = startOf(PHImodes#737)
 *           576    2.311  347,92s      6      (gap is 0,00%)
 ! Time = 347,92s, Average fail depth = 22, Memory usage = 5,6 GB
 ! Current bound is 576 (gap is 0,00%)
 !          Best Branches  Non-fixed    W       Branch decision
 ! ----------------------------------------------------------------------------
 ! Search completed, 26 solutions found.
 ! Best objective         : 576 (optimal - effective tol. is 0)
 ! Best bound             : 576
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 63.952
 ! Number of fails        : 4.098
 ! Total memory usage     : 5,5 GB (5,5 GB CP Optimizer + 0,0 GB Concert)
 ! Time spent in solve    : 348,18s (30,91s engine + 317,28s extraction)
 ! Search speed (br. / s) : 2.069,6
 ! ----------------------------------------------------------------------------
